subject,relation,object,weight
Věra Jourová,mentions,vice president commission,4
Josep Borrell Fontelles,mentions,vice president commission,5
Maroš Šefčovič,mentions,vice president commission,4
Margaritis Schinas,mentions,vice president commission,1
Federica Mogherini,mentions,vice president commission,1
Alex Agius Saliba,mentions,behalf group president,1
Siegfried Mureşan,mentions,behalf group president,1
Maria Walsh,mentions,behalf group president,1
Iuliu Winkler,mentions,behalf group president,1
Petri Sarvamaa,mentions,behalf group president,1
Jeroen Lenaers,mentions,behalf group president,1
Kati Piri,mentions,behalf group president,1
Victor Negrescu,mentions,behalf group president,1
Jan Olbrycht,mentions,behalf group president,1
Evin Incir,mentions,behalf group president,1
Marina Kaljurand,mentions,behalf group president,1
Andrius Kubilius,mentions,behalf group president,1
Cyrus Engerer,mentions,behalf group president,1
Birgit Sippel,mentions,behalf group president,1
Anna Fotyga,mentions,behalf group president,1
Evelyn Regner,mentions,sorry would like,1
Evelyn Regner,mentions,debate closed vote,1
Roberta Metsola,mentions,thank very very,1
Roberta Metsola,mentions,colleagues thank points,1
Roberta Metsola,mentions,that concludes vote,1
Roberta Metsola,mentions,would like inform,1
Roberta Metsola,mentions,dace melb left,1
Roberta Metsola,mentions,helmut geuking submitted,1
Roberta Metsola,mentions,with regard other,1
Roberta Metsola,mentions,groups have notified,1
Roberta Metsola,mentions,would also like,1
Roberta Metsola,mentions,next item debate,1
Roberta Metsola,mentions,come order business,1
Roberta Metsola,mentions,president want talk,1
Roberta Metsola,mentions,minutes texts adopted,1
Roberta Metsola,mentions,debate suspended,1
Roberta Metsola,mentions,next item vote,1
Roberta Metsola,mentions,there full round,1
Yana Toom,mentions,behalf renew group,1
Yana Toom,mentions,rapporteur madam president,1
Martin Hlaváček,mentions,behalf renew group,1
Guy Verhofstadt,mentions,behalf renew group,2
Luis Garicano,mentions,behalf renew group,1
Karen Melchior,mentions,behalf renew group,1
Dragoş Tudorache,mentions,behalf renew group,1
Sophia in 't Veld,mentions,behalf renew group,2
Ondřej Knotek,mentions,behalf renew group,1
Shaffaq Mohammed,mentions,behalf renew group,1
Michal Šimečka,mentions,behalf renew group,1
Martin Hojsík,mentions,behalf renew group,1
Billy Kelleher,mentions,behalf renew group,1
Phil Bennion,mentions,behalf renew group,1
Dragoş Pîslaru,mentions,behalf renew group,1
Samira Rafaela,mentions,behalf renew group,1
Petras Auštrevičius,mentions,behalf renew group,1
Seán Kelly,mentions,thar ceann uachtar,1
Seán Kelly,mentions,president empathise with,1
Seán Kelly,mentions,uachtar number years,1
Seán Kelly,mentions,president europe been,1
Seán Kelly,mentions,uachtar sustainable development,1
Seán Kelly,mentions,president probability ordinary,1
Seán Kelly,mentions,behalf group madam,1
Seán Kelly,mentions,madam president decision,1
Seán Kelly,mentions,uachtar afghanistan about,1
Fabio Massimo Castaldo,mentions,president madam commissioner,1
Anna-Michelle Asimakopoulou,mentions,president vice chair,1
Ska Keller,mentions,behalf verts group,1
Anna Cavazzini,mentions,behalf verts group,2
Markéta Gregorová,mentions,behalf verts group,2
Alexandra Geese,mentions,behalf verts group,1
Tineke Strik,mentions,behalf verts group,2
Sergey Lagodinsky,mentions,behalf verts group,1
Sara Matthieu,mentions,behalf verts group,1
Hannah Neumann,mentions,behalf verts group,1
Carles Puigdemont i Casamajó,mentions,madam president borrell,1
Dorien Rookmaker,mentions,madam president borrell,1
Sandra Kalniete,mentions,writing ukraine asks,1
Dita Charanzová,mentions,debate closed vote,4
Dita Charanzová,mentions,declare adjourned session,1
Dita Charanzová,mentions,madam president seems,1
Dita Charanzová,mentions,next item agenda,1
Dita Charanzová,mentions,next item recommendation,1
Dita Charanzová,mentions,that concludes item,2
Dita Charanzová,mentions,madam president impact,1
Dita Charanzová,mentions,next part session,1
Dita Charanzová,mentions,debate closed written,1
Dita Charanzová,mentions,before continuing this,1
Marcel Kolaja,mentions,debate closed vote,2
Marc Angel,mentions,next item report,1
Marc Angel,mentions,president just before,1
Marc Angel,mentions,president dear commissioner,1
Marc Angel,mentions,behalf group madam,1
Marc Angel,mentions,madam president fantastic,1
Marc Angel,mentions,minutes this sitting,1
Nicolas Schmit,mentions,member commission madam,5
Nicolas Schmit,mentions,membre commission monsieur,1
Nicolas Schmit,mentions,member commission president,1
Paolo Gentiloni,mentions,member commission madam,3
Olivér Várhelyi,mentions,member commission madam,2
Didier Reynders,mentions,member commission madam,1
Virginijus Sinkevičius,mentions,member commission madam,1
Johannes Hahn,mentions,member commission madam,2
Helena Dalli,mentions,member commission madam,3
Ylva Johansson,mentions,member commission madam,2
Mairead McGuinness,mentions,member commission madam,1
Jutta Urpilainen,mentions,member commission madam,1
Adina-Ioana Vălean,mentions,member commission madam,1
Helena Dalli,mentions,member commission president,3
Kadri Simson,mentions,member commission president,2
Janez Lenarčič,mentions,member commission president,1
Ylva Johansson,mentions,member commission president,1
Marianne Thyssen,mentions,member commission president,1
Olivér Várhelyi,mentions,member commission president,1
Mariya Gabriel,mentions,member commission president,2
Virginijus Sinkevičius,mentions,member commission president,1
Stella Kyriakides,mentions,member commission president,2
Johannes Hahn,mentions,member commission president,1
Adina-Ioana Vălean,mentions,member commission president,1
Clare Daly,mentions,madam president talking,1
Clare Daly,mentions,president management fisheries,1
Clare Daly,mentions,madam president wouldn,1
Clare Daly,mentions,behalf left group,1
Clare Daly,mentions,madam president weeks,1
Clare Daly,mentions,president think great,1
Clare Daly,mentions,president could course,1
Clare Daly,mentions,president really welcome,1
Clare Daly,mentions,madam president have,2
Clare Daly,mentions,madam president really,1
Clare Daly,mentions,president voted against,1
Clare Daly,mentions,madam president know,1
Clare Daly,mentions,president have just,1
Ursula von der Leyen,mentions,president commission madam,1
Ursula von der Leyen,mentions,sidentin kommission sehr,1
Paolo Gentiloni,mentions,member commission will,1
Svenja Hahn,mentions,madam president dear,1
Rovana Plumb,mentions,madam president dear,1
Tsvetelina Penkova,mentions,madam president dear,1
Tilly Metz,mentions,author president since,1
Tilly Metz,mentions,madam president just,1
Ernest Urtasun,mentions,madam president again,1
Ernest Urtasun,mentions,author president least,1
Monika Hohlmeier,mentions,darf ganz kurz,1
Rainer Wieland,mentions,behalf group madam,1
Rainer Wieland,mentions,kelly question whether,1
Rainer Wieland,mentions,thank commissioner simpson,1
Tsvetelina Penkova,mentions,behalf group madam,1
Assita Kanko,mentions,behalf group madam,1
Charlie Weimers,mentions,behalf group madam,1
Cristian Terheş,mentions,behalf group madam,1
Lena Düpont,mentions,behalf group madam,1
Pedro Marques,mentions,behalf group madam,2
Tonino Picula,mentions,behalf group madam,1
Jytte Guteland,mentions,behalf group madam,1
Derk Jan Eppink,mentions,behalf group madam,1
Petras Auštrevičius,mentions,madam president china,1
Petras Auštrevičius,mentions,madam president thank,1
Tineke Strik,mentions,madam president important,1
Tineke Strik,mentions,president council commissioner,1
Tineke Strik,mentions,madam president commissioner,1
Vladimír Bilčík,mentions,madam president important,1
Didier Reynders,mentions,vice sident commission,1
Didier Reynders,mentions,member commission behalf,1
Didier Reynders,mentions,membre commission monsieur,2
Didier Reynders,mentions,membre commission madame,1
Valdis Dombrovskis,mentions,executive vice president,2
Margrethe Vestager,mentions,executive vice president,2
Markéta Gregorová,mentions,madam president group,1
Markéta Gregorová,mentions,madam president colleagues,1
Mick Wallace,mentions,behalf left group,1
Mick Wallace,mentions,madam president good,1
Mick Wallace,mentions,president early pandemic,1
Mick Wallace,mentions,madam president sometimes,1
Mick Wallace,mentions,president debate amounts,1
Mick Wallace,mentions,madam president commission,1
Mick Wallace,mentions,madam president well,1
Mick Wallace,mentions,president weeks pope,1
Mick Wallace,mentions,president consumption commodities,1
Mick Wallace,mentions,madam president european,1
Mick Wallace,mentions,blue card speech,1
Mick Wallace,mentions,madam president europe,1
Mick Wallace,mentions,madam president setting,1
Chris MacManus,mentions,behalf left group,1
Philippe Lamberts,mentions,blue card question,1
Philippe Lamberts,mentions,president prime minister,1
Philippe Lamberts,mentions,madam president know,1
Richard Corbett,mentions,blue card question,1
Tomislav Sokol,mentions,blue card question,1
Željana Zovko,mentions,blue card question,1
Sophia in 't Veld,mentions,blue card question,1
Nils Ušakovs,mentions,president dear colleagues,1
Nils Ušakovs,mentions,president absolutely true,1
Nils Ušakovs,mentions,madam president commissioner,1
Siegfried Mureşan,mentions,president dear colleagues,1
Cristian Terheş,mentions,president dear colleagues,1
Anna Deparnay-Grunenberg,mentions,president dear colleagues,1
Siegfried Mureşan,mentions,president from romania,1
Marcel Kolaja,mentions,president dear commissioner,1
Katarina Barley,mentions,because have slovenian,1
Katarina Barley,mentions,referring article rules,1
Jessica Stegrud,mentions,madam president bickering,1
Barry Andrews,mentions,madam president high,1
Barry Andrews,mentions,madam president visited,1
Tytti Tuppurainen,mentions,president office council,4
Ana Paula Zacarias,mentions,president office council,2
Nikolina Brnjac,mentions,president office council,1
Jessika Roswall ,mentions,president office council,2
Márton Gyöngyösi,mentions,madam president appears,1
Robert Rowland,mentions,madam president just,1
Maria Walsh,mentions,rapporteur president thank,1
Maria Walsh,mentions,madam president under,1
Iuliu Winkler,mentions,blue card speech,1
Mairead McGuinness,mentions,another sure personal,1
Mairead McGuinness,mentions,declare resumed session,1
Mairead McGuinness,mentions,sorry rowland have,1
Mairead McGuinness,mentions,madam president welcome,1
President,mentions,melo being clear,1
President,mentions,thank same thing,1
President,mentions,etheridge only reciprocate,1
President,mentions,first want thank,1
President,mentions,once again those,1
Caroline Voaden,mentions,representative renew group,1
Cyrus Engerer,mentions,want give more,1
Cyrus Engerer,mentions,president dear sara,1
Željana Zovko,mentions,president high representative,1
Željana Zovko,mentions,madam president only,1
Neena Gill,mentions,president high representative,1
Clara Ponsatí Obiols,mentions,madam president scotland,1
Clara Ponsatí Obiols,mentions,madam president would,1
Clara Ponsatí Obiols,mentions,president most hideous,1
Sara Matthieu,mentions,madam president colleagues,1
Gwendoline Delbos-Corfield,mentions,president dear smaller,1
Gwendoline Delbos-Corfield,mentions,madam president house,1
Othmar Karas,mentions,inaudible interjections from,1
Alin Mituța,mentions,writing necessary debate,1
Alin Mituța,mentions,rapporteur president dear,1
Sven Simon,mentions,madam president dispute,1
Sven Simon,mentions,president have already,1
Stelios Kympouropoulos,mentions,president living president,1
Billy Kelleher,mentions,madam president russian,1
Billy Kelleher,mentions,madam president also,1
Billy Kelleher,mentions,madam president welcome,1
Robert Biedroń,mentions,author president commissioner,1
Viola von Cramon-Taubadel,mentions,author president commissioner,1
Gina Dowding,mentions,president pollution causing,1
Tonino Picula,mentions,president agree with,1
Tonino Picula,mentions,president aware that,1
Tonino Picula,mentions,rapporteur madam president,1
Ville Niinistö,mentions,rapporteur president thank,1
Chris MacManus,mentions,madam president vice,1
Pedro Silva Pereira,mentions,please colleague stick,1
Pedro Silva Pereira,mentions,thank very much,1
Assita Kanko,mentions,president would like,1
Assita Kanko,mentions,madam president would,1
Assita Kanko,mentions,madam president imagine,1
Miriam Dalli,mentions,president start straight,1
Lívia Járóka,mentions,writing ending violence,1
Morten Petersen,mentions,writing overwhelming majority,1
Bas Eickhout,mentions,madam president first,2
Bas Eickhout,mentions,deputising author madam,1
Karlo Ressler,mentions,madam president this,1
Karlo Ressler,mentions,madam president think,1
Daniel Hannan,mentions,madam president this,1
Samira Rafaela,mentions,madam president this,1
Peter Liese,mentions,rapporteur madam president,1
Jytte Guteland,mentions,rapporteur madam president,1
Gheorghe-Vlad Nistor,mentions,writing commend people,1
Włodzimierz Cimoszewicz,mentions,president russia continues,1
Viola von Cramon-Taubadel,mentions,madam president commissioner,1
Lukas Mandl,mentions,madam president commissioner,1
Radan Kanev,mentions,madam president declared,1
Sophia in 't Veld,mentions,president pity that,1
Sophia in 't Veld,mentions,president just heard,1
Niels Fuglsang,mentions,rapporteur president dear,1
Claire Fox,mentions,president voted against,1
Jill Evans,mentions,madam president delighted,1
Hannah Neumann,mentions,madam president private,1
Johan Van Overtveldt,mentions,blue card answer,1
Francisco Guerreiro,mentions,president commissioner made,1
Marek Belka,mentions,madam president were,1
Marek Belka,mentions,madam president challenge,1
Juan Fernando López Aguilar,mentions,chair committee civil,1
Josianne Cutajar,mentions,writing devastating consequences,1
Josianne Cutajar,mentions,writing national agencies,1
Rovana Plumb,mentions,writing given important,1
Charlie Weimers,mentions,surrounded azeri soldiers,1
Charlie Weimers,mentions,president kremlin useful,1
Catherine Rowett,mentions,madam president aristotle,1
Damian Boeselager,mentions,madam president asked,1
Damian Boeselager,mentions,rapporteur president third,1
Lara Wolters,mentions,blue card speech,1
Jytte Guteland,mentions,thank president thank,1
Ilhan Kyuchyuk,mentions,president would like,1
Jackie Jones,mentions,president would like,1
Tatjana Ždanoka,mentions,president regret have,1
Ellie Chowns,mentions,author president very,1
Mateusz Morawiecki,mentions,prime minister poland,1
Rupert Lowe,mentions,madam president sure,1
Hilde Vautmans,mentions,madam president would,1
Radosław Sikorski,mentions,madam president would,1
Roberts Zīle,mentions,colleagues want repeat,1
Roberts Zīle,mentions,that concludes debate,1
Kati Piri,mentions,president there thing,1
Kati Piri,mentions,president hardly comes,1
Victor Negrescu,mentions,writing some young,1
Heidi Hautala,mentions,would just request,1
Heidi Hautala,mentions,what kolaku said,1
Heidi Hautala,mentions,this observation place,1
Frances Fitzgerald,mentions,madam president situation,1
Frances Fitzgerald,mentions,president weeks brussels,1
Miapetra Kumpula-Natri,mentions,president energy charter,1
Balázs Hidvéghi,mentions,president colleagues left,1
Alfred Sant,mentions,writing sanctions russia,1
Alfred Sant,mentions,madam president eurozone,1
Evin Incir,mentions,president humanitarian catastrophe,1
Michael Gahler,mentions,president behalf group,1
Luděk Niedermayer,mentions,madam president make,1
Steven Woolfe ,mentions,president didn want,1
Pablo Arias Echeverría,mentions,president thank very,1
Rory Palmer,mentions,madam president yesterday,1
Paulo Rangel,mentions,from france shame,1
Paulo Rangel,mentions,president president christodoulides,1
Eva Kaili,mentions,thank pereira this,1
Scott Ainslie,mentions,president already been,1
Miriam Lexmann,mentions,author madam president,1
Sirpa Pietikäinen,mentions,author madam president,1
Marina Kaljurand,mentions,like come strategic,1
Marina Kaljurand,mentions,president dear federica,1
Lena Düpont,mentions,president three when,1
Pedro Marques,mentions,president start saying,1
Georgios Kyrtsos,mentions,president release former,1
Janice Atkinson ,mentions,president sounding desperate,1
Thijs Reuten,mentions,president commissioner dear,1
Thijs Reuten,mentions,madam president attempts,1
Monica Semedo,mentions,rapporteur president cultural,1
Michal Šimečka,mentions,president thank vice,1
Michal Šimečka,mentions,sorry chaibi allowed,1
Grace O'Sullivan,mentions,president later this,1
Grace O'Sullivan,mentions,madam president there,1
Elisabetta Gualmini,mentions,madam president there,1
Anna Fotyga,mentions,madam president will,1
Nuno Melo ,mentions,madam president will,1
Stella Kyriakides,mentions,member commission reduce,1
Catharina Rinzema,mentions,dear commissioner security,1
Paul Tang,mentions,madam president tech,1
Jutta Urpilainen,mentions,member commission first,1
David McAllister,mentions,president ladies gentlemen,1
Agnes Jongerius,mentions,madam president even,1
Carmen Avram,mentions,writing farmers first,1
Tomas Tobé,mentions,madam president these,1
Christophe Hansen,mentions,president this summer,1
Reinhard Bütikofer,mentions,madam president executive,1
Rasa Juknevičienė,mentions,president belarus matters,1
Vlad-Marius Botoş,mentions,president talking about,1
